team,address,lat,lng
Anaheim Angels,"2000 Gene Autry Way, Anaheim, CA. 92806",33.799572,-117.889031
Arizona Diamondbacks,"P.O. Box 2095, Phoenix, AZ. 85001",33.452922,-112.038669
Atlanta Braves,"P.O. Box 4064, Atlanta, GA. 30302",33.74691,-84.391239
Baltimore Orioles,"333 W. Camden Street, Baltimore, MD. 21201",39.285243,-76.620103
Boston Red Sox,"4 Yawkey Way, Boston, MA 02215",42.346613,-71.098817
Chicago Cubs,"1060 Addison Street, Chicago, IL 60616",41.947201,-87.656413
Chicago White Sox,"333 W. 35th Street, Chicago, IL 60616",41.830883,-87.635083
Cincinnati Reds,"100 Cinergy Field, Cincinnati, OH 45202",39.107183,-84.507713
Cleveland Indians,"2401 Ontario Street, Cleveland, OH 44115",41.495149,-81.68709
Colorado Rockies,"Coors Field, 2001 Blake Street, Denver, CO 80205-2000",39.75698,-104.965329
Detroit Tigers,"Comerica Park, 2100 Woodward Ave., Detroit, MI 48201",42.346354,-83.059619
Florida Marlins,"2269 NW 199th Street, Miami, FL 33056",25.954428,-80.238164
Houston Astros,"P.O. Box 288, Houston, TX 77001-0288",29.76045,-95.369784
Kansas City Royals,"P.O. Boz 419969, Kansas City, MO 64141",39.10222,-94.583559
Los Angeles Dodgers,"1000 Elysian Park Ave., Los Angeles, CA 90012",34.072437,-118.246879
Milwaukee Brewers,"P.O. Box 3099, Milwaukee, WI 53201-3099",43.04205,-87.905599
Minnesota Twins,"501 Chicago Ave. S., Minneapolis, MN 55415",44.974346,-93.259616
Washington Nationals,"1500 South Capitol Street SE, Washington, DC",38.87,-77.01
New York Mets,"Roosevelt Ave & 126th Street, New York, NY 11368",40.75535,-73.843219
New York Yankees,"Yankee Stadium, E. 161 Street & River Ave., New York, NY 10451",40.819782,-73.929939
Oakland Athletics,"Oakland Coliseum, 700 Coliseum Way, Oakland, Ca 94621-1918",37.74923,-122.196487
Philadelphia Phillies,"P.O. Box 7575, Philadelphia, PA 19101",39.952313,-75.162392
Pittsburgh Pirates,"600 Stadium Circle, Pittsburgh, PA 15212",40.461503,-80.008924
St. Louis Cardinals,"250 Stadium Plaza, St. Louis, MO 63102",38.629683,-90.188247
San Diego Padres,"P.O. Box 2000, San Diego, CA 92112-2000",32.752148,-117.143635
San Francisco Giants,"Pacific Bell Park, 24 Willie Mays Plaza, San Francisco, CA 94107",37.77987,-122.389754
Seattle Mariners,"P.O. Box 41000, 411 First Ave. S., Seattle, WA 98104",47.60174,-122.330829
Tampa Bay Devil Rays,"1 Tropicana Drive, St. Petersburg, FL 33705",27.768487,-82.648191
Texas Rangers,"1000 Ballpark Way, Arlington, TX 76011",32.750156,-97.081117
Toronto Blue Jays,"1 Blue Jay Way, Suite 3200, Toronto, ONT M5V 1J1",43.641653,-79.3917
